period_deleuil,period,e_period,p_deleuil,p,e_p,adivR_deleuil,adivR,e_adivR,b_deleuil,b,e_b,chi2,filter_technique,filter_order,filter_cutoff,filter_numNei
13.24016,13.2404,0.0001414213562369799,0.1483,0.1481,0.00017078251276599342,22.36,22.38,0.017078251276599225,0.92,0.95,0.0,21.283747389819776,median_num9_100725706.csv,,,
6.21238,6.2127,0.00017078251276598534,0.0892,0.089,0.00018070158058105027,11.93,11.94,0.014142135623730649,0.82,0.85,0.0034992710611188296,15.284971078345865,median_num9_101086161.csv,,,
4.25667,4.2565,0.00017078251276594198,0.0661,0.0659,0.00014907119849998454,8.23,8.21,0.014142135623730649,0.48,0.51,0.0037267799624996537,30.77583682443698,median_num9_101368192.csv,,,
2.828042,2.8283,0.000170782512766007,0.1309,0.1307,0.00017078251276599342,7.81,7.82,0.014142135623731025,0.63,0.66,0.008164965809277268,4.821445540997447,median_num9_102671819.csv,,,
4.037928,4.0382,0.00017078251276598532,0.1116,0.1114,0.00011180339887498804,9.13,9.14,0.014142135623731402,0.74,0.77,2.220446049250313e-16,48.312946874420604,median_num9_102764809.csv,,,
1.508956,1.5092,0.00014142135623738814,0.141,0.1408,0.00011180339887498648,4.62,4.63,0.0141421356237309,0.51,0.54,0.0,100.22121279093064,median_num9_102890318.csv,,,
9.201536,9.2014,0.00014142135623748236,0.1021,0.1019,2.7755575615628914e-17,17.03,17.06,0.01707825127659871,0.01,0.03,6.938893903907228e-18,1641.458856466575,median_num9_102912369.csv,,,
4.204644,4.2049,0.00017078251276602866,0.0771,0.0769,0.00014142135623730962,6.2,6.2,0.0141421356237309,0.0,0.02,0.0047140452079103175,41.380733599535475,median_num9_105209106.csv,,,
4.860616,4.8609,0.000170782512765942,0.1599,0.1597,0.00017078251276599342,9.66,9.67,0.014142135623730649,1.04,1.07,0.0,2.3518273081760572,median_num9_105793995.csv,,,
9.756373,9.7565,0.00014142135623773354,0.0468,0.0466,0.00017078251276599345,13.06,13.06,0.014142135623731154,0.66,0.69,0.01707825127659932,3.32181401135241,median_num9_105819653.csv,,,
2.994279,2.9946,0.000170782512766007,0.1039,0.1037,0.00017078251276599207,6.71,6.72,0.0141421356237309,0.83,0.86,1.1102230246251565e-16,13.51682659317848,median_num9_105833549.csv,,,
95.270554,95.2709,0.00017078251276611534,0.1282,0.128,0.0,97.61,97.61,0.014142135623730146,0.0,0.02,3.469446951953614e-18,173133806.81275168,median_num9_105891283.csv,,,
8.886623,8.8868,0.0001414213562369799,0.1122,0.112,0.00017078251276599277,18.61,18.62,0.017078251276599225,0.0,0.02,0.004714045207910317,45.81068582368165,median_num9_106017681.csv,,,
