CoRoT_ID,period_deleuil,period,e_period,p_deleuil,p,e_p,adivR_deleuil,adivR,e_adivR,b_deleuil,b,e_b,chi2
100725706.0,13.24016,13.26,0.0019096564341013478,0.1483,0.13,0.0010104952028413357,22.36,22.38,0.002306129236862311,0.92,0.91,0.0021307863998766973,2.278646233681595
101086161.0,6.21238,6.21,0.0020941725760953295,0.0892,0.07,0.0007254426603229044,11.93,11.92,0.002094172576095292,0.82,0.83,0.002336668714044604,2.7004276109020986
101368192.0,4.25667,4.24,0.0027152374185085123,0.0661,0.05,2.6644836214601443e-18,8.23,8.21,0.0027152374185084637,0.48,0.51,0.003278960698913153,5.621596957703709
102671819.0,2.828042,2.85,0.0017666431542439466,0.1309,0.12,0.0009272944897454278,7.81,7.81,0.0017666431542439544,0.63,0.66,0.0019467459403070737,2.242895865633987
102764809.0,4.037928,4.06,0.002980826161307462,0.1116,0.11,0.0010325884719830085,9.13,9.15,0.0029808261613075674,0.74,0.77,0.0015773049448669764,10.88697117933527
102890318.0,1.508956,1.53,0.007661859001132191,0.141,0.13,1.2452053984800993e-17,4.62,4.62,0.006344622020662214,0.51,0.54,9.961643187840795e-17,47.74381063122205
102912369.0,9.201536,9.19,0.00304393848584934,0.1021,0.08,0.0,17.03,17.06,0.003675904949222099,0.01,0.03,0.0015219692429246214,185.92858346281542
105209106.0,4.204644,4.22,0.003881791002365456,0.0771,0.06,1.9046158684376738e-18,6.2,6.22,0.003881791002365456,0.0,0.02,0.0012939303341218233,7.035903931703344
105793995.0,4.860616,4.84,0.0013758401974235937,0.1599,0.14,0.0012476270620315724,9.66,9.64,0.001375840197423557,1.04,1.02,0.0015414313857219555,0.7235909376335824
105819653.0,9.756373,9.76,0.0019096564341013478,0.0468,0.04,0.0006751655071448066,13.06,13.07,0.0019096564341014156,0.66,0.69,0.0023061292368623237,0.5526142602049098
105833549.0,2.994279,3.01,0.0033435082632604475,0.1039,0.1,6.562021387115196e-18,6.71,6.73,0.0033435082632604627,0.83,0.86,0.0026432753718742454,1.3194366624655776
105891283.0,95.270554,95.29,0.0038817910023658,0.1282,0.11,7.618463473750695e-18,97.61,97.63,0.003881791002365249,0.0,0.02,0.0012939303341218233,210.13278011937692
106017681.0,8.886623,8.91,0.0035307475734284903,0.1122,0.09,3.46475008659752e-18,18.61,18.62,0.004263782773520447,0.0,0.02,0.00117691585780948,9.291847986322525
110839339.0,4.035144,4.02,0.0019096564341013816,0.0941,0.07,0.0006751655071448062,9.21,9.19,0.0019096564341014497,0.64,0.67,0.002306129236862327,1.7909683851947467
315198039.0,3.896914,3.92,0.0038817910023654727,0.0758,0.06,1.9046158684376738e-18,6.92,6.94,0.003881791002365455,0.0,0.02,0.0012939303341218233,250.3341789966166
315211361.0,1.900078,1.88,0.007661859001132191,0.1383,0.12,1.2452053984800993e-17,6.34,6.32,0.006344622020662214,0.44,0.46,7.471232390880596e-17,57.86352750686927
315239728.0,9.243751,9.26,0.003530747573428365,0.0801,0.06,1.73237504329876e-18,35.22,35.25,0.004263782773520318,0.0,0.02,0.00117691585780948,118.50565635960665
652180991.0,5.208129,5.23,0.0027152374185085123,0.0585,0.05,2.6644836214601443e-18,5.65,5.66,0.0027152374185085365,0.67,0.7,0.0032789606989131474,2.024188864911732
